POINT_X,POINT_Y,TWI,Slope,Distance,LST,NDVI,SMI,Classes
623186.4519,1391653.538,9.3492746,1.4142135,2028.752808,29.08626145,0.1760357,0.3171642,0
621475.6899,1390264.91,11.8313789,,2224.305664,24.29709687,0.3129933,0.6224787,0
621429.5611,1391367.924,10.8197784,,2805.198975,28.23115504,0.1511979,0.3716781,0
621365.139,1391916.704,4.8809943,10.7703295,3304.345459,26.31258779,0.1468307,0.493989,0
625378.191,1392349.022,5.9796066,1.4142135,888.282959,28.83040031,0.2792236,0.3334756,0
619570.4795,1388789.33,6.7316451,4.472136,1322.383423,22.78215057,0.2126719,0.7190583,0
624911.2819,1391214.373,11.6307087,1.4142135,584.1312866,27.69746111,0.2675525,0.4057017,0
620534.2061,1391163.274,5.1006775,7.6157732,3396.636719,28.40567252,0.3688336,0.3605525,0
621145.6959,1391075.89,9.3707027,4.472136,2880.217529,28.53006574,0.1783757,0.3526223,0
623522.0308,1390346.42,5.5315623,9.8994951,744.6242065,28.56787092,0.3136945,0.3502121,0
623312.9394,1392076.832,10.1266308,,2170.933838,28.98408726,0.2828953,0.3236779,0
623352.8692,1391748.267,11.3276205,1.4142135,1904.035034,28.82095069,0.225287,0.334078,0
620501.3866,1391795.732,7.9781971,12,3888.423828,26.26094394,0.127538,0.4972813,0
620975.7861,1388631.196,11.042922,,1256.221802,24.29728591,0.2293004,0.6224667,0
620118.1814,1389942.136,7.365901,3.1622777,2341.084229,23.94774799,0.155271,0.6447501,0
620175.3513,1390662.072,5.3980312,5.6568542,3070.164307,28.42407518,0.2002154,0.3593793,0
619127.2259,1389191.607,5.6330328,7.2111025,1847.185303,23.75250569,0.1915535,0.6571971,0
620322.579,1391639.741,8.6287651,4.472136,3932.053955,25.70019185,0.256398,0.5330299,0
620350.3322,1390407.616,6.2735,7.0710678,2774.623535,23.49678756,0.2949585,0.6734993,0
621180.1029,1389383.066,11.7360687,,1959.23584,23.74642649,0.2368492,0.6575846,0
621342.557,1389142.321,6.2735,7.0710678,1904.035034,23.79439736,0.1875953,0.6545264,0
621522.4244,1390446.375,9.0869102,5.6568542,2285.775147,27.41712782,0.2988506,0.4235733,0
624923.0148,1391236.666,5.3980312,4.2426405,584.1312866,27.69746111,0.3165381,0.4057017,0
618993.7184,1388915.635,8.7403374,2,1632.696533,25.56636839,0.1270947,0.5415613,0
619841.9785,1392481.231,6.7843256,,4702.619629,25.30735507,0.1820876,0.5580736,0
619822.1677,1391215.134,9.1295404,4.472136,3677.012451,27.11671756,0.1753857,0.4427248,0
623093.8795,1391466.383,6.1992898,7.6157732,1847.185303,28.82513516,0.3237792,0.3338113,0
620913.0428,1390205.936,5.6720138,8.6023254,2692.712158,23.60411691,0.1819336,0.666657,0
620530.0399,1390213.894,13.4765348,1.4142135,2644.766846,24.00216987,0.289085,0.6412807,0
621182.72,1392007.161,5.6857133,4.2426405,3409.17041,28.94501222,0.0811397,0.326169,0
623226.963,1390860.268,7.4774728,4.2426405,1247.704956,30.24049013,0.2859643,0.2435808,0
619400.0081,1390900.049,5.1006775,7.0710678,3471.1604,27.42672141,0.1664173,0.4229617,0
620855.1543,1389835.833,5.3980312,9.8994951,2267.039063,23.60370933,0.1482376,0.666683,0
620312.2139,1388569.193,11.5436974,2,1022.229736,24.65711501,0.1991741,0.5995272,0
621897.0859,1392385.535,9.0768089,1.4142135,3281.679443,27.8296074,0.0836104,0.3972772,0
619468.2624,1388881.51,5.1006775,7.6157732,1489.248413,23.09196022,0.2173764,0.6993076,0
623709.9766,1391276.577,11.7360687,1.4142135,1438.25647,29.08428026,0.2792174,0.3172905,0
620581.3249,1391429.328,5.5018506,5.0990195,3532.062744,28.02308017,0.2885068,0.3849431,0
625256.3456,1392248.14,11.7360687,4.472136,786.4108276,29.07648711,0.2798615,0.3177873,0
621385.8025,1390916.421,5.3677187,5.8309517,2554.531006,28.01816443,0.2402522,0.3852565,0
623833.264,1392254.361,5.1552773,7.2111025,1898.426636,28.93679853,0.2291139,0.3266926,0
620170.9393,1388972.574,9.7105703,4,1322.383423,24.49573563,0.1684123,0.6098154,0
619664.9423,1388975.082,9.4334841,4,1438.25647,23.74580804,0.2055702,0.6576241,0
625151.5857,1392411.582,7.7959266,5.6568542,979.6179199,28.82400033,0.2647059,0.3338836,0
618506.533,1389219.331,6.7843256,1.4142135,2106.115234,23.64795182,0.2219168,0.6638625,0
621581.7329,1389981.548,10.5320959,,1986.261108,24.35037373,0.3737992,0.6190823,0
620305.7833,1390420.991,7.0074692,5.6568542,2774.623535,23.53460181,0.2648221,0.6710886,0
