NDVI,SMI,LST,Distance,TWI,Slope,Class
0.2016377,0.5566016,28.26245966,2195.354736,15.6818171,4.472136,No
0.2507394,0.5155339,28.86560882,2920.656494,4.5933123,12.6491108,No
0.1677187,0.4876718,29.27481034,3310.792969,5.3980312,5.6568542,No
0.1577796,0.430218,30.11861767,3125.23877,6.1500697,8,No
0.1580668,0.4745097,29.46811911,2924.304932,9.6431684,8.6023254,No
0.1411306,0.4396344,29.98032208,2486.849365,10.5320959,4.2426405,No
0.1168392,0.4597338,29.68512718,3125.23877,12.1415339,4.472136,No
0.1771854,0.416133,30.32547895,1652.17273,7.5789428,4.472136,No
0.2438844,0.4717899,29.50806303,3281.679443,5.3980312,7.0710678,No
0.1534762,0.4331481,30.07558428,3421.658447,5.1006775,10.7703295,No
0.1631063,0.4950682,29.16618192,3202.749756,8.8356476,6,No
0.18325,0.4880563,29.26916335,2512.443604,11.7360687,10.2956305,No
0.2282632,0.5541142,28.29899037,2583.584229,11.3793936,7.0710678,No
0.1929897,0.4121763,30.38359135,3265.393066,9.4233828,4.472136,No
0.1842561,0.480785,29.37595454,2755.341797,11.7360687,,No
0.1814212,0.388945,30.72478098,1652.17273,10.8197784,8.944272,No
0.2540891,0.6502678,26.88681191,3202.749756,12.6115379,4.2426405,No
0.1510618,0.4370348,30.01850142,2755.341797,12.4292164,5.6568542,No
0.1312831,0.4188994,30.28484978,3216.039307,11.7360687,4,No
0.1521279,0.5118464,28.91976594,2090.871826,6.7843256,5.6568542,No
0.1572746,0.4909544,29.2266001,3189.405029,8.7302361,5.8309517,No
0.1608696,0.4916345,29.21661154,2229.094238,5.1748877,5.0990195,No
0.1113709,0.2774405,32.3624145,876.1968994,6.4377518,4,No
0.1470985,0.2846907,32.25593357,2170.933838,5.1552773,8.6023254,No
0.1706905,0.2952892,32.10027571,3967.150391,6.4377518,4,No
0.137931,0.2336016,33.00626399,2495.409912,6.7843256,5.0990195,No
0.159499,0.1925306,33.60946135,1306.157227,11.042922,8,No
0.1684193,0.3265186,31.64161945,3097.823975,6.1949978,4.2426405,No
0.1874334,0.3579108,31.18057154,3516.936035,11.3793936,4.2426405,No
0.137575,0.2608435,32.60617008,1346.356079,14.84513,2,No
0.2793893,0.3770842,30.898978,3612.652344,5.6330328,5.8309517,No
0.1647972,0.2921066,32.14701751,2789.953125,6.3788605,4.2426405,No
0.1602608,0.2647583,32.54867439,3650.820557,5.521461,7.0710678,No
0.1552721,0.1995283,33.50668774,2482.557861,6.0911784,5.6568542,No
0.1200787,0.2297296,33.06313037,1112.152832,6.6727538,3.1622777,No
0.1522082,0.2028636,33.4577024,1898.426636,12.7293205,7.0710678,No
0.2820679,0.3895342,30.71612848,3121.825195,5.3677187,5.8309517,No
0.1424219,0.2026953,33.46017482,1829.786011,5.5713711,19.0262985,No
0.1363365,0.3016516,32.00683338,876.1968994,8.5760851,11.0453606,No
0.1732295,0.3191896,31.74925851,1829.786011,6.7843256,1.4142135,No
0.1369309,0.2711684,32.45453186,4659.339356,12.1415339,3.1622777,No
0.1284635,0.2329296,33.01613322,2034.001831,12.6915808,4.472136,No
0.1647965,0.2071573,33.39464277,1385.388916,11.9984331,1.4142135,No
0.1267524,0.3289348,31.60613369,1022.229736,5.6857133,4.2426405,No
0.1243028,0.2126091,33.31457341,1032.608032,5.5018506,8.944272,No
0.136871,0.3913844,30.68895454,3553.131836,5.7446046,4,No
0.1311797,0.1887743,33.66462798,1314.29541,11.3793936,16.1245155,No
0.1516667,0.2916851,32.15320807,3556.131592,12.265605,8.944272,No
0.1213182,0.3150922,31.80943579,744.6242065,6.1992898,11.0453606,No
0.1214777,0.3590302,31.1641313,1503.499878,5.6330328,4.472136,No
0.1863614,0.3058477,31.94520738,1904.035034,7.8829379,4.2426405,No
0.1066687,0.3253577,31.65866971,1022.229736,10.1266308,6.3245554,No
0.1870605,0.3337279,31.53573898,3516.936035,9.4334841,3.1622777,No
0.1272955,0.1922949,33.61292235,1247.704956,6.4377518,2,No
0.1249196,0.2034522,33.44905883,1247.704956,5.6330328,4.472136,No
0.1645995,0.2407326,32.90153329,1467.611694,5.521461,10,No
0.1170262,0.2914187,32.15712055,526.5288086,6.8432169,4.472136,No
0.1110232,0.2265579,33.10971234,1460.328247,6.4377518,4.2426405,No
0.2881658,0.3968989,30.60796514,3281.679443,6.6727538,3.1622777,No
0.1189836,0.2604193,32.61239987,2512.443604,5.6857133,4.2426405,No
0.2012397,0.3104854,31.87709495,2680.806152,7.5649433,8.6023254,No
0.1737904,0.2420416,32.88230791,2408.435059,6.561182,8,No
0.2048364,0.3656593,31.06677164,3371.429443,8.5760851,3.1622777,No
0.1269812,0.1819332,33.76510099,1489.248413,5.9796066,7.0710678,No
0.1098243,0.2297549,33.06275888,2587.708252,8.27209,5.8309517,No
0.1366324,0.2847088,32.25566725,2395.116211,7.8302574,4.2426405,No
0.1260906,0.3284804,31.61280721,1703.020752,6.4377518,4.472136,No
0.112782,0.2841728,32.26353971,1776.565918,11.2252436,6,No
0.13902,0.2198634,33.20803267,1782.557739,10.1266308,4.2426405,No
0.1201857,0.3663248,31.05699745,1552.35022,3.8412733,26.8328152,No
0.1523404,0.3088964,31.90043143,3953.688477,6.6608953,8,No
0.1645957,0.2306606,33.0494566,876.1968994,7.337781,8.944272,No
0.1817696,0.3435236,31.39187264,4091.525879,4.7541041,8.6023254,No
0.1746239,0.2441728,32.85100706,3049.254883,10.1165304,4.472136,No
0.2402078,0.3375482,31.47963173,2209.877686,12.4292164,3.1622777,No
0.1558729,0.2988944,32.04732721,2632.644043,6.7843256,1.4142135,No
0.1328206,0.257769,32.65132375,2628.59082,6.4377518,8,No
0.1862562,0.3027837,31.99020731,3653.73999,5.7446046,3.1622777,No
0.1762832,0.3573721,31.18848283,3216.039307,6.4377518,4,No
0.1792683,0.2097588,33.35643604,888.282959,6.4377518,4,No
0.10963,0.3355229,31.50937579,935.0662842,12.3238554,4,No
0.1902919,0.2958898,32.09145535,3808.070068,7.0720077,4.472136,No
0.1044386,0.1678349,33.97215942,526.5288086,5.6330328,4.472136,No
0.1262108,0.3149457,31.81158664,888.282959,5.1552773,8.6023254,No
0.1201839,0.308123,31.91179015,1964.670654,5.6330328,4.472136,No
0.1482459,0.2300269,33.05876333,2550.353516,6.4377518,5.8309517,No
0.1652994,0.1755506,33.85884075,1346.356079,5.1006775,14.2126703,No
0.1319911,0.2778261,32.35675177,3529.042481,8.17062,4.2426405,No
0.1523509,0.2511985,32.74782315,2267.039063,6.8432169,3.1622777,No
0.1535142,0.2949033,32.10594328,1959.23584,5.1006775,5.8309517,No
0.1151013,0.3118645,31.85683955,935.0662842,5.1748877,7.0710678,No
0.2005277,0.2606303,32.60930107,1112.152832,5.1552773,7.2111025,No
0.1431298,0.2059196,33.41282009,1204.217529,4.5933123,12.6491108,No
0.1177749,0.2194667,33.21385872,851.510376,11.3793936,4,No
0.1250578,0.3188129,31.75479009,730.1641235,10.5320959,11.4017544,No
0.0797101,0.4035935,30.50964381,3516.936035,11.7360687,19.0262985,No
0.1797363,0.3266368,31.63988427,4498.664063,5.6857133,4,No
0.1867424,0.3056793,31.94768038,438.0984497,5.661612,13.0384045,No
0.2875933,0.3975568,30.59830203,2869.0896,11.8313789,9.0553856,No
0.1937446,0.305934,31.94393925,1898.426636,6.7843256,4.2426405,No
0.1396794,0.312095,31.85345396,1377.670898,5.3980312,5.6568542,No
0.2373558,0.2901343,32.17598444,2820.362305,9.7287645,3.1622777,No
0.1739914,0.3096816,31.88889966,3361.927979,6.2735,7.0710678,No
0.1711041,0.3405034,31.43622846,3723.121094,8.4526548,5.6568542,No
0.145233,0.2131915,33.30602041,2285.775147,11.042922,3.1622777,No
0.166694,0.3262289,31.64587476,2778.463867,7.5890446,3.1622777,No
0.12625,0.2981734,32.05791606,1247.704956,11.5129251,10,No
0.1194366,0.3184433,31.76021835,979.6179199,9.4233828,11.4017544,No
0.1605968,0.2888289,32.19515693,2447.956055,5.6330328,4,No
