,POINT_X,POINT_Y,TWI,Slope,Distance,LST,NDVI,SMI,Class
54,630870.6493295431,1373164.3904670235,11.7360687,4.2426405,146.0328217,25.240186837606014,0.096857,0.5623557,1
55,632255.0729704294,1372175.04700708,13.8402033,4.0,619.5647583,25.77483304022149,0.1811981,0.5282714,1
56,622515.3645250564,1370141.3330775627,5.6330328,3.1622777,2190.4921875,26.41905232381976,0.1411354,0.4872017,0
57,626729.0093409736,1377364.7908098362,11.3793936,4.0,146.0328217,27.728866345111957,0.0768067,0.4036996,1
58,630590.0350112794,1371445.1827370431,5.8680348,7.6157732,292.0656433,28.440310183009046,0.2231013,0.3583443,1
59,630725.1408705413,1371317.073297599,13.4408169,5.8309517,292.0656433,28.21561007915028,0.1797147,0.3726692,1
60,633699.2165092044,1375106.777399268,5.1552773,7.2111025,461.7963257,25.641995139685605,0.2295394,0.5367399,1
61,629924.4851670656,1372343.9625070132,6.6727538,3.1622777,292.0656433,26.175389493072885,0.2910944,0.5027355,1
62,630261.1290062135,1373485.8539437223,13.987361,4.0,146.0328217,26.02902447428676,0.1398624,0.5120664,1
63,625720.8583750371,1375658.0487521328,6.1151829,11.0453606,146.0328217,25.928353139024807,0.0860144,0.5184844,1
64,633624.3256584164,1375295.3055761436,12.7293205,4.0,292.0656433,24.343029653078872,0.1727973,0.6195505,1
65,632168.3400316684,1373520.6143036876,11.042922,1.4142135,146.0328217,27.62975952615216,0.1853215,0.4100178,1
66,632981.4850847442,1382611.519156426,11.7360687,1.4142135,1552.3502197,27.110577500998545,0.1296556,0.4431162,0
67,634825.4157560086,1368377.3518951663,8.4056215,10.2956305,146.0328217,26.421549723025407,0.2006011,0.4870425,1
68,623402.3365737897,1375303.5401653815,6.466331,7.2111025,292.0656433,25.89134988306961,0.3141037,0.5208433,1
69,628937.6806789702,1374570.0722734367,14.4170904,10.2956305,206.5215912,26.22950702290632,0.0876869,0.4992854,1
70,617638.509506695,1378185.790025849,12.1415339,4.0,2190.4921875,25.702169392941585,0.3245741,0.5329038,0
71,634987.9010127019,1380643.6646557488,12.6115379,2.0,146.0328217,27.718143500903754,0.1032653,0.4043832,1
72,622228.8249552343,1371367.8336138967,5.6330328,4.0,1239.1295166,26.8736574225826,0.1690193,0.4582202,0
73,624321.0705467016,1382615.6558116004,9.8877392,7.6157732,744.6242065,29.524233520543987,0.1398793,0.289243,0
74,623958.0714100488,1375346.5907387473,6.4966435,5.6568542,292.0656433,26.879711300192582,0.1038251,0.4578342,1
75,630002.0683476347,1372610.5094335247,5.8680348,6.0,206.5215912,26.204066651920527,0.1235454,0.5009073,1
76,630147.2011109954,1373469.0456071012,12.5245266,3.1622777,146.0328217,25.906704932328125,0.2789544,0.5198644,1
